id_sacado_sac,st_nome_sac,planos[0][plano],planos[0][notificar_cliente],planos[0][não_notificar_primeiro_pagamento],opcionais[0][produto],opcionais[0][qtd],opcionais[0][valor],contratação
169,Dominante,1,0,1,999999982,1,"1.000,00",17/08/16
146,Educacional Futura,1,0,1,999999982,1,"195,00",16/06/16
203,Educacional Harmonia,1,0,1,999999982,1,"1.790,00",28/10/16
165,Educallis,1,0,1,999999982,1,"1.450,00",29/07/16
185,Educar,1,0,1,999999982,1,"0,00",15/09/16
220,Eduki,1,0,1,999999982,1,"0,00",24/11/16
73,Elite,1,0,1,999999982,1,"150,00",29/01/16
93,Em Busca Do Saber,1,0,1,999999982,1,"625,00",12/05/16
124,Emilia Marinho,1,0,1,999999982,1,"1.250,00",15/06/16
173,Emme,4,0,1,999999982,1,"1,00",
192,English Service (Leaf),1,0,1,999999982,1,"0,00",23/09/16
190,Ensino,1,0,1,999999982,1,"750,00",13/09/16
45,Escola Be.living,2,0,1,999999982,1,"416,12",30/11/16
37,Escola Crist� Jundia�,2,0,1,999999982,1,"168,10",18/12/15
157,Escola Portinari,2,0,1,999999982,1,"1.189,50",28/09/15
16,Escola Projeto Vida,1,0,1,999999982,1,"1.500,00",16/06/16
22,Escola Ser,2,0,1,999999982,1,"1.667,04",22/05/15
160,Estrela S�Rius,2,0,1,999999982,1,"1.203,75",30/07/15
142,Estrelinha Dourada,2,0,1,999999982,1,"1.250,00",07/06/16
217,Exito Instituto,2,0,1,999999982,1,"395,00",15/06/16
237,Externato Rio Branco,2,0,1,999999982,1,"0,00",24/11/16
99,Fenix Jr.,2,0,1,999999982,1,"1.295,00",04/12/16
162,Flamingo (Am�Ricas),2,0,1,999999982,1,"1.480,00",20/05/16
234,Floresta Azul,2,0,1,999999982,1,"995,00",18/07/16
184,Freinet,2,0,1,999999982,1,"0,00",01/12/16
209,Fundamentum,2,0,1,999999982,1,"0,00",15/09/16
168,Futura Code,2,0,1,999999982,1,"1.500,00",17/11/16
96,Futuro,2,0,1,999999982,1,"199,00",03/08/16
159,Genesis,4,0,1,999999982,1,"190,00",24/05/16
150,Giz De Cera,2,0,1,999999982,1,"1,00",15/06/16
214,Guaiauma - Carr�O,2,0,1,999999982,1,"195,00",24/06/16
213,Guaiauma - Metro Penha,2,0,1,999999982,1,"0,00",24/11/16
215,Guaiauma - Vila Formosa,3,0,1,999999982,1,"0,00",24/11/16
236,Happy Code (Fortaleza),3,0,1,999999982,1,"0,00",24/11/16
66,Happy Code Alphaville,3,0,1,999999982,1,"0,00",15/12/16
61,Happy Code Americana,3,0,1,999999982,1,"153,75",19/08/16
62,Happy Code Campinas,3,0,1,999999982,1,"135,75",28/07/16
63,Happy Code Jundia�,3,0,1,999999982,1,"0,00",07/07/15
64,Happy Code Perdizes,3,0,1,999999982,1,"141,75",08/08/16
67,Happy Code Piracicaba,3,0,1,999999982,1,"132,00",29/07/16
208,Happy Code Salvador,3,0,1,999999982,1,"136,50",02/08/16
68,Happy Code Sorocaba,3,0,1,999999982,1,"90,00",10/11/16
232,Happy Code Tatuap�,3,0,1,999999982,1,"118,50",05/08/16
65,Happy Code Valinhos,3,0,1,999999982,1,"0,00",07/12/16
114,Iapi,1,0,1,999999982,1,"0,00",07/07/15
155,Ideal,1,0,1,999999982,1,"750,00",15/06/16
78,Impacto,1,0,1,999999982,1,"995,00",15/06/16
161,Imperial,1,0,1,999999982,1,"550,00",02/05/16
199,Inaci,1,0,1,999999982,1,"495,00",12/07/16
17,Instituto Baroneza De Rezende,2,0,1,999999982,1,"950,00",10/10/16
